#,name,SE[kcal/mol],Delta(min)[eV],M(tot.)[D],EnergyGap[eV],Electrophilicity[eV],IP[eV],EA[eV],GlobalHardness[eV],Electronegativity[eV],Electrophilicity [eV],Temperature,Gradient,ParticleSize,Length,ID,Carbon Load,PoreSize,TR
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,25,40,2.7,100,3,10,120,15.842
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,25,40,2.7,100,3,10,120,30.996
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,25,40,2.7,100,3,10,120,12.111
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,25,40,2.7,100,3,10,120,4.968
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,25,40,2.7,100,3,10,120,12.465
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,25,40,2.7,100,3,10,120,2.696
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,25,40,2.7,100,3,10,120,12.646
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,25,40,2.7,100,3,10,120,8.582
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,25,40,2.7,100,3,10,120,16.375
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,25,40,2.7,100,3,10,120,22.665
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,25,40,2.7,100,3,10,120,5.578
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,25,40,2.7,100,3,10,120,11.617
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,25,40,2.7,100,3,10,120,19.588
